Date,Open,High,Low,Close,Adj Close,Volume
1997-02-24,147.220001,147.779999,146.740005,147.070007,147.070007,0
1997-02-25,147.029999,147.559998,146.970001,147.500000,147.500000,0
1997-02-26,147.500000,150.199997,147.470001,150.199997,150.199997,0
1997-02-27,150.199997,151.350006,148.869995,149.419998,149.419998,0
1997-02-28,149.210007,149.419998,147.509995,148.179993,148.179993,0
1997-03-03,148.250000,148.250000,146.529999,146.919998,146.919998,0
1997-03-04,146.869995,147.350006,145.149994,145.919998,145.919998,0
1997-03-05,146.190002,146.190002,142.300003,143.869995,143.869995,0
1997-03-06,143.929993,144.479996,142.759995,142.759995,142.759995,0
1997-03-07,142.869995,143.229996,142.240005,142.910004,142.910004,0
1997-03-10,142.910004,143.759995,142.779999,143.509995,143.509995,0
1997-03-11,143.669998,144.389999,142.880005,143.509995,143.509995,0
1997-03-12,143.580002,143.710007,141.550003,142.300003,142.300003,0
1997-03-13,142.440002,142.440002,138.839996,139.500000,139.500000,0
1997-03-14,139.259995,139.500000,137.899994,138.699997,138.699997,0
1997-03-17,138.820007,139.800003,138.710007,139.500000,139.500000,0
1997-03-18,137.800003,139.500000,136.190002,136.839996,136.839996,0
1997-03-19,137.259995,137.820007,136.289993,137.820007,137.820007,0
1997-03-20,138.259995,139.279999,137.270004,137.750000,137.750000,0
1997-03-21,137.839996,137.990005,135.520004,135.899994,135.899994,0
1997-03-24,135.779999,135.960007,133.979996,134.570007,134.570007,0
1997-03-25,134.750000,136.429993,134.570007,136.429993,136.429993,0
1997-03-26,137.529999,137.529999,136.360001,136.899994,136.899994,0
1997-03-27,136.970001,137.410004,136.500000,137.410004,137.410004,0
1997-03-28,null,null,null,null,null,null
1997-03-31,null,null,null,null,null,null
1997-04-01,137.169998,137.410004,134.350006,134.940002,134.940002,0
1997-04-02,135.259995,135.259995,134.179993,134.740005,134.740005,0
1997-04-03,134.000000,134.740005,131.960007,132.610001,132.610001,0
1997-04-04,132.669998,132.820007,131.259995,131.800003,131.800003,0
1997-04-07,131.809998,132.220001,131.089996,131.919998,131.919998,0
1997-04-08,131.940002,132.479996,131.529999,131.990005,131.990005,0
1997-04-09,null,null,null,null,null,null
1997-04-10,132.080002,132.179993,130.710007,131.309998,131.309998,0
1997-04-11,131.369995,131.869995,130.889999,131.869995,131.869995,0
1997-04-14,131.850006,131.869995,130.809998,131.460007,131.460007,0
1997-04-15,131.460007,131.699997,130.369995,130.570007,130.570007,0
1997-04-16,130.740005,131.539993,130.369995,130.910004,130.910004,0
1997-04-17,130.699997,132.250000,130.669998,132.029999,132.029999,0
1997-04-18,null,null,null,null,null,null
1997-04-21,132.059998,133.500000,132.029999,133.250000,133.250000,0
1997-04-22,133.350006,134.119995,133.250000,134.050003,134.050003,0
1997-04-23,134.050003,135.270004,134.050003,135.199997,135.199997,0
1997-04-24,135.229996,135.470001,134.610001,135.470001,135.470001,0
1997-04-25,135.429993,135.660004,134.500000,135.130005,135.130005,0
1997-04-28,135.220001,135.550003,134.970001,135.529999,135.529999,0
1997-04-29,135.589996,135.639999,132.970001,133.339996,133.339996,0
1997-04-30,133.380005,134.470001,133.380005,134.259995,134.259995,0
1997-05-01,134.350006,134.460007,132.800003,133.710007,133.710007,0
1997-05-02,133.710007,133.740005,132.460007,133.190002,133.190002,0
1997-05-05,133.190002,134.369995,133.130005,134.350006,134.350006,0
