,Tanggal,Terakhir,Pembukaan,Close IDR,Emas USD,Consumer Confidence,BI Rate
0,2023-01-02,1147.55,1151.12,15570,1823.69,199.9,5.5
1,2023-01-03,1148.82,1147.55,15595,1839.49,199.9,5.5
2,2023-01-04,1137.31,1148.75,15585,1854.09,199.9,5.5
3,2023-01-05,1114.4,1137.31,15605,1833.19,199.9,5.5
4,2023-01-06,1110.66,1114.33,15630,1865.71,199.9,5.5
