Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,4160.000000,4200.000000,4120.000000,4155.000000,3837.379150,41336000
2017-10-27,4150.000000,4150.000000,4040.000000,4060.000000,3749.641357,101701000
2017-10-30,4065.000000,4095.000000,4060.000000,4085.000000,3772.730225,55210500
2017-10-31,4165.000000,4185.000000,4105.000000,4180.000000,3860.468262,78009000
2017-11-01,4200.000000,4275.000000,4200.000000,4265.000000,3938.969971,103776500
2017-11-02,4300.000000,4325.000000,4280.000000,4295.000000,3966.676758,95839000
2017-11-03,4300.000000,4300.000000,4140.000000,4205.000000,3883.557129,70070000
2017-11-06,4240.000000,4240.000000,4200.000000,4200.000000,3878.939453,38234000
2017-11-07,4170.000000,4215.000000,4150.000000,4210.000000,3888.174561,49234500
2017-11-08,4180.000000,4225.000000,4160.000000,4160.000000,3841.997070,61518000
2017-11-09,4190.000000,4210.000000,4155.000000,4160.000000,3841.997070,51541000
2017-11-10,4160.000000,4180.000000,4120.000000,4130.000000,3814.290527,79178500
2017-11-13,4105.000000,4140.000000,4080.000000,4095.000000,3781.965576,56963000
2017-11-14,4100.000000,4110.000000,4085.000000,4095.000000,3781.965576,54986000
2017-11-15,4120.000000,4230.000000,4100.000000,4205.000000,3883.557129,94253500
2017-11-16,4240.000000,4240.000000,4190.000000,4205.000000,3883.557129,61512500
2017-11-17,4230.000000,4240.000000,4165.000000,4235.000000,3911.263672,126881500
2017-11-20,4235.000000,4255.000000,4205.000000,4205.000000,3883.557129,90902500
2017-11-21,4245.000000,4245.000000,4175.000000,4225.000000,3902.028076,63695000
2017-11-22,4200.000000,4245.000000,4200.000000,4235.000000,3911.263672,86719000
2017-11-23,4250.000000,4250.000000,4170.000000,4200.000000,3878.939453,66003500
2017-11-24,4175.000000,4210.000000,4155.000000,4200.000000,3878.939453,60888000
2017-11-27,4165.000000,4260.000000,4165.000000,4260.000000,3934.352051,78146500
2017-11-28,4260.000000,4260.000000,4210.000000,4260.000000,3934.352051,77432000
2017-11-29,4260.000000,4265.000000,4185.000000,4235.000000,3926.009033,103370500
2017-11-30,4260.000000,4260.000000,4070.000000,4070.000000,3773.047852,205897500
2017-12-01,4070.000000,4070.000000,4070.000000,4070.000000,3773.047852,0
2017-12-04,4165.000000,4230.000000,4130.000000,4160.000000,3856.481445,128402500
2017-12-05,4210.000000,4225.000000,4180.000000,4200.000000,3893.563232,62670500
2017-12-06,4230.000000,4275.000000,4200.000000,4260.000000,3949.184570,106299500
2017-12-07,4260.000000,4260.000000,4175.000000,4195.000000,3888.927246,69664000
2017-12-08,4220.000000,4245.000000,4205.000000,4225.000000,3916.739258,40480000
2017-12-11,4250.000000,4250.000000,4200.000000,4215.000000,3907.467773,32973500
2017-12-12,4235.000000,4250.000000,4170.000000,4250.000000,3939.915039,67854000
2017-12-13,4235.000000,4235.000000,4185.000000,4185.000000,3879.657227,61131000
2017-12-14,4185.000000,4230.000000,4175.000000,4220.000000,3912.104248,75550000
2017-12-15,4180.000000,4220.000000,4180.000000,4220.000000,3912.104248,64630500
2017-12-18,4180.000000,4220.000000,4170.000000,4220.000000,3912.104248,76474000
2017-12-19,4190.000000,4250.000000,4190.000000,4220.000000,3912.104248,76553500
2017-12-20,4210.000000,4210.000000,4175.000000,4185.000000,3879.657227,102963500
2017-12-21,4190.000000,4230.000000,4190.000000,4220.000000,3912.104248,61100000
2017-12-22,4235.000000,4335.000000,4195.000000,4300.000000,3986.266846,94573000
2017-12-25,4300.000000,4300.000000,4300.000000,4300.000000,3986.266846,0
2017-12-26,4300.000000,4300.000000,4300.000000,4300.000000,3986.266846,0
2017-12-27,4300.000000,4340.000000,4280.000000,4305.000000,3990.901855,86689000
2017-12-28,4300.000000,4400.000000,4295.000000,4385.000000,4065.064697,106501000
2017-12-29,4410.000000,4550.000000,4330.000000,4380.000000,4060.429443,81347000
2018-01-01,4380.000000,4380.000000,4380.000000,4380.000000,4060.429443,0
2018-01-02,4380.000000,4505.000000,4365.000000,4380.000000,4060.429443,82303500
2018-01-03,4385.000000,4390.000000,4265.000000,4380.000000,4060.429443,68214000
2018-01-04,4380.000000,4445.000000,4380.000000,4445.000000,4120.687500,76567000
2018-01-05,4460.000000,4480.000000,4435.000000,4450.000000,4125.322266,65268000
2018-01-08,4450.000000,4515.000000,4445.000000,4470.000000,4143.863770,57928000
2018-01-09,4500.000000,4510.000000,4490.000000,4505.000000,4176.309570,61213000
2018-01-10,4505.000000,4545.000000,4465.000000,4490.000000,4162.404297,47292000
2018-01-11,4490.000000,4540.000000,4460.000000,4540.000000,4208.756348,57569000
2018-01-12,4540.000000,4545.000000,4465.000000,4485.000000,4157.769043,66590500
2018-01-15,4490.000000,4500.000000,4460.000000,4495.000000,4167.039551,41875000
2018-01-16,4490.000000,4535.000000,4490.000000,4520.000000,4190.214844,50055000
2018-01-17,4540.000000,4540.000000,4430.000000,4430.000000,4106.781738,183003000
2018-01-18,4450.000000,4520.000000,4450.000000,4515.000000,4185.580078,84980500
2018-01-19,4525.000000,4530.000000,4480.000000,4490.000000,4162.404297,50450500
2018-01-22,4510.000000,4515.000000,4485.000000,4495.000000,4167.039551,81367500
2018-01-23,4530.000000,4540.000000,4505.000000,4530.000000,4199.485352,68752000
2018-01-24,4525.000000,4525.000000,4500.000000,4515.000000,4185.580078,94254500
2018-01-25,4510.000000,4530.000000,4490.000000,4515.000000,4185.580078,53653500
2018-01-26,4525.000000,4570.000000,4505.000000,4540.000000,4208.756348,58121000
2018-01-29,4560.000000,4565.000000,4510.000000,4560.000000,4227.296875,114814500
2018-01-30,4540.000000,4690.000000,4530.000000,4560.000000,4227.296875,114055000
2018-01-31,4560.000000,4580.000000,4540.000000,4545.000000,4213.390625,106803000
2018-02-01,4570.000000,4685.000000,4570.000000,4675.000000,4333.905762,138208000
2018-02-02,4725.000000,4940.000000,4720.000000,4795.000000,4445.151367,98474000
2018-02-05,4750.000000,4805.000000,4700.000000,4760.000000,4412.704102,49501500
2018-02-06,4690.000000,4735.000000,4660.000000,4705.000000,4361.717773,117589500
2018-02-07,4730.000000,4795.000000,4695.000000,4700.000000,4357.083008,121947000
2018-02-08,4710.000000,4760.000000,4700.000000,4740.000000,4394.163574,68461000
2018-02-09,4680.000000,4745.000000,4670.000000,4715.000000,4370.987305,71076500
2018-02-12,4760.000000,4760.000000,4700.000000,4700.000000,4357.083008,38409500
2018-02-13,4760.000000,4785.000000,4750.000000,4760.000000,4412.704102,59406000
2018-02-14,4745.000000,4775.000000,4710.000000,4740.000000,4394.163574,75553000
2018-02-15,4780.000000,4785.000000,4690.000000,4690.000000,4347.811523,52958500
2018-02-16,4690.000000,4690.000000,4690.000000,4690.000000,4347.811523,0
2018-02-19,4735.000000,4850.000000,4730.000000,4850.000000,4496.138184,50185500
2018-02-20,4820.000000,4840.000000,4775.000000,4805.000000,4454.421875,34830000
2018-02-21,4790.000000,4835.000000,4745.000000,4805.000000,4454.421875,62499000
2018-02-22,4820.000000,4835.000000,4750.000000,4780.000000,4431.245117,47217000
2018-02-23,4805.000000,4895.000000,4790.000000,4850.000000,4496.138184,82233000
2018-02-26,4830.000000,4845.000000,4700.000000,4705.000000,4361.717773,85227500
2018-02-27,4745.000000,4755.000000,4660.000000,4710.000000,4366.353027,87429500
2018-02-28,4680.000000,4690.000000,4615.000000,4635.000000,4296.824707,132869000
2018-03-01,4620.000000,4645.000000,4620.000000,4635.000000,4296.824707,125474500
2018-03-02,4615.000000,4625.000000,4550.000000,4575.000000,4241.202637,151511000
2018-03-05,4630.000000,4660.000000,4575.000000,4575.000000,4241.202637,87744000
2018-03-06,4635.000000,4640.000000,4545.000000,4555.000000,4222.662109,75907000
2018-03-07,4620.000000,4630.000000,4505.000000,4520.000000,4190.214844,106152000
2018-03-08,4600.000000,4680.000000,4550.000000,4660.000000,4320.001953,102994500
2018-03-09,4660.000000,4660.000000,4595.000000,4660.000000,4320.001953,66797000
2018-03-12,4680.000000,4730.000000,4670.000000,4725.000000,4380.258301,111180500
2018-03-13,4720.000000,4740.000000,4655.000000,4690.000000,4347.811523,80643000
2018-03-14,4695.000000,4720.000000,4645.000000,4680.000000,4338.541016,54505500
2018-03-15,4680.000000,4685.000000,4650.000000,4675.000000,4333.905762,60774500
2018-03-16,4730.000000,4735.000000,4600.000000,4670.000000,4329.270508,193122000
2018-03-19,4660.000000,4675.000000,4640.000000,4670.000000,4329.270508,74200000
2018-03-20,4655.000000,4660.000000,4600.000000,4655.000000,4315.365234,89683500
2018-03-21,4670.000000,4705.000000,4655.000000,4675.000000,4333.905762,67617500
2018-03-22,4695.000000,4700.000000,4670.000000,4690.000000,4347.811523,60791500
2018-03-23,4600.000000,4760.000000,4600.000000,4760.000000,4412.704102,62978000
2018-03-26,4680.000000,4690.000000,4640.000000,4655.000000,4315.365234,100407000
2018-03-27,4730.000000,4755.000000,4685.000000,4690.000000,4347.811523,66088000
2018-03-28,4690.000000,4690.000000,4630.000000,4665.000000,4324.635742,36212500
2018-03-29,4630.000000,4665.000000,4565.000000,4660.000000,4320.001953,77650500
2018-03-30,4660.000000,4660.000000,4660.000000,4660.000000,4320.001953,0
2018-04-02,4690.000000,4695.000000,4620.000000,4680.000000,4338.541016,37162500
2018-04-03,4675.000000,4700.000000,4665.000000,4680.000000,4338.541016,56261000
2018-04-04,4700.000000,4700.000000,4605.000000,4660.000000,4320.001953,49877000
2018-04-05,4700.000000,4700.000000,4610.000000,4610.000000,4273.648926,22521500
